trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
389,False,"{'a': 0.002, 'e': 0.46024330749309256}",20,0,-55.06611307288479,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
390,False,"{'a': 0.002, 'e': 0.45932374075137034}",25,2,-20.458504984113343,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
391,False,"{'a': 0.002, 'e': 0.4584060113052235}",25,15,11.057289386260782,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.002, 'e': 0.45749011548373314}",20,0,-0.3446505853594608,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
393,False,"{'a': 0.002, 'e': 0.4565760496233147}",20,8,-20.9800072889498,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
394,False,"{'a': 0.002, 'e': 0.4556638100677035}",20,8,-20.97857809633286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
395,False,"{'a': 0.002, 'e': 0.45475339316794017}",25,16,0.44714933214140906,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.002, 'e': 0.45384479528235583}",20,10,-25.637478866141134,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
397,False,"{'a': 0.002, 'e': 0.4529380127765577}",30,15,-19.443076615293165,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
398,False,"{'a': 0.002, 'e': 0.45203304202341466}",20,15,3.11102685105059,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.002, 'e': 0.45112987940304233}",20,0,-34.784905778125925,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
400,False,"{'a': 0.002, 'e': 0.45022852130278923}",20,3,4.62043684411831,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
401,False,"{'a': 0.002, 'e': 0.44932896411722156}",20,6,-5.667681499823111,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
402,False,"{'a': 0.002, 'e': 0.4484312042481095}",30,21,-6.395322175678325,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
403,False,"{'a': 0.002, 'e': 0.44753523810441237}",25,11,5.300508837712364,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
404,False,"{'a': 0.002, 'e': 0.44664106210226434}",35,15,-43.243334306182184,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
405,False,"{'a': 0.002, 'e': 0.4457486726649602}",35,23,-19.379704283428797,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
406,False,"{'a': 0.002, 'e': 0.4448580662229411}",20,0,-61.67399812570093,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
